@timestamp,log
2026-05-29T13:00:41.801526Z,"{""request_id"":""31a2bd82-1d08-4829-a4fb-aa55758d784b"",""service_name"":""gateway-service"",""level"":""INFO"",""full_message"":""Request started""}"
2026-05-29T13:00:41.919553Z,"{""request_id"":""31a2bd82-1d08-4829-a4fb-aa55758d784b"",""service_name"":""auth-service"",""level"":""INFO"",""full_message"":""Validating token""}"
2026-05-29T13:00:41.920100Z,"{""request_id"":""31a2bd82-1d08-4829-a4fb-aa55758d784b"",""service_name"":""auth-service"",""level"":""INFO"",""full_message"":""Token validated""}"
2026-05-29T13:00:41.920420Z,"{""request_id"":""31a2bd82-1d08-4829-a4fb-aa55758d784b"",""service_name"":""billing-service"",""level"":""INFO"",""full_message"":""Processing payment""}"
2026-05-29T13:00:41.920779Z,"{""request_id"":""31a2bd82-1d08-4829-a4fb-aa55758d784b"",""service_name"":""database-service"",""level"":""INFO"",""full_message"":""Saving transaction""}"
2026-05-29T13:00:41.920876Z,"{""request_id"":""31a2bd82-1d08-4829-a4fb-aa55758d784b"",""service_name"":""database-service"",""level"":""INFO"",""full_message"":""Transaction committed""}"
2026-05-29T13:00:41.920965Z,"{""request_id"":""31a2bd82-1d08-4829-a4fb-aa55758d784b"",""service_name"":""billing-service"",""level"":""INFO"",""full_message"":""Payment completed""}"
2026-05-29T13:00:41.921045Z,"{""request_id"":""31a2bd82-1d08-4829-a4fb-aa55758d784b"",""service_name"":""gateway-service"",""level"":""INFO"",""full_message"":""Request completed""}"
2026-05-29T13:00:41.921178Z,"{""request_id"":""9fd31f27-3971-46d8-91c6-cc7b010de926"",""service_name"":""gateway-service"",""level"":""INFO"",""full_message"":""Request started""}"
2026-05-29T13:00:41.921268Z,"{""request_id"":""9fd31f27-3971-46d8-91c6-cc7b010de926"",""service_name"":""auth-service"",""level"":""INFO"",""full_message"":""Validating token""}"
2026-05-29T13:00:41.921349Z,"{""request_id"":""9fd31f27-3971-46d8-91c6-cc7b010de926"",""service_name"":""auth-service"",""level"":""INFO"",""full_message"":""Token validated""}"
2026-05-29T13:00:41.921429Z,"{""request_id"":""9fd31f27-3971-46d8-91c6-cc7b010de926"",""service_name"":""billing-service"",""level"":""INFO"",""full_message"":""Processing payment""}"
